縣市代號,縣市,大類別,小類別代號,小類別名稱,地標名稱,緯度,經度
N,彰化縣,交通運輸,11,火車站,彰化縣臺鐵二水車站,23.813212995197247,120.6180823228121
N,彰化縣,交通運輸,11,火車站,彰化縣臺鐵彰化車站,24.081653961885912,120.53846343999227
N,彰化縣,交通運輸,11,火車站,彰化縣臺鐵田中車站,23.858280472729568,120.59129445599145
N,彰化縣,交通運輸,11,火車站,彰化縣臺鐵員林車站,23.959345364868202,120.5698390358536
N,彰化縣,交通運輸,11,火車站,彰化縣臺鐵永靖車站,23.928199080412565,120.5717612018541
N,彰化縣,交通運輸,11,火車站,彰化縣臺鐵花壇車站,24.025023164968683,120.53736920210886
N,彰化縣,交通運輸,11,火車站,大村火車站,23.990053001095827,120.56068700004896
N,彰化縣,交通運輸,11,火車站,大村火車站,23.990053001095827,120.56068700004896
N,彰化縣,交通運輸,11,火車站,彰化火車站,24.081489000283316,120.53829600005696
N,彰化縣,交通運輸,11,火車站,花壇火車站,24.02499300506145,120.53731600004272
N,彰化縣,交通運輸,11,火車站,員林火車站,23.95936700373467,120.5699600000444
N,彰化縣,交通運輸,11,火車站,永靖火車站,23.928052006228455,120.57169000002949
N,彰化縣,交通運輸,11,火車站,社頭火車站,23.8957390046729,120.58080000004136
N,彰化縣,交通運輸,11,火車站,社頭火車站,23.8957390046729,120.58080000004136
N,彰化縣,交通運輸,11,火車站,田中火車站,23.858318005693057,120.59137600003089
N,彰化縣,交通運輸,11,火車站,二水火車站,23.813316999520897,120.6180850000451
N,彰化縣,交通運輸,11,火車站,源泉火車站,23.79843700273874,120.64200800003901
N,彰化縣,交通運輸,11,火車站,源泉火車站,23.79843700273874,120.64200800003901
N,彰化縣,交通運輸,12,客運站,彰化客運-伸港站,24.1476420093056,120.47825400003214
N,彰化縣,交通運輸,12,客運站,國光客運-彰化車站,24.081778002306628,120.54018900004928
N,彰化縣,交通運輸,12,客運站,員林客運-彰化站,24.081538993879267,120.53953500008514
N,彰化縣,交通運輸,12,客運站,和欣客運-彰化交流道站(代售),24.06429999674221,120.52171100006986
N,彰化縣,交通運輸,12,客運站,統聯客運-彰化站(自營站),24.08188500641456,120.53929900003887
N,彰化縣,交通運輸,12,客運站,和欣客運-彰化站,24.081538993879267,120.53953500008514
N,彰化縣,交通運輸,12,客運站,彰化客運-彰化站,24.081538993879267,120.53953500008514
N,彰化縣,交通運輸,12,客運站,統聯客運-員林站(自營站),23.959554002307954,120.57036900004714
N,彰化縣,交通運輸,12,客運站,彰化客運員林站,23.960947010109745,120.57040900002437
N,彰化縣,交通運輸,12,客運站,國光客運-員林車站,23.96113099932327,120.57032800005629
N,彰化縣,交通運輸,12,客運站,和欣客運-員林站,23.960949003425778,120.57041600004735
N,彰化縣,交通運輸,12,客運站,彰化客運-員林站,23.960949003425778,120.57041600004735
N,彰化縣,交通運輸,12,客運站,統聯客運-溪湖站(自營站),23.959283999690843,120.47606700007145
N,彰化縣,交通運輸,12,客運站,統聯客運-萬興站(代售處),23.954914006414338,120.41909500005056
N,彰化縣,交通運輸,12,客運站,統聯客運-二林站(自營處),23.902316997803037,120.37335200009798
N,彰化縣,交通運輸,12,客運站,統聯客運-挖仔站(代售處),23.952167992408558,120.43923100010325
N,彰化縣,交通運輸,12,客運站,日統客運-北斗站(營業站),23.885203008315194,120.4950820000322
N,彰化縣,交通運輸,12,客運站,統聯客運-路口厝站(代售處),23.848198004488133,120.45801400004653
N,彰化縣,交通運輸,12,客運站,統聯客運-埤頭站(代售處),23.88162900973925,120.45910200002628
N,彰化縣,交通運輸,12,客運站,國光客運-北斗代售處,23.87603000578563,120.5210800000407
N,彰化縣,交通運輸,12,客運站,統聯客運-大城站(代售處),23.854274001896172,120.32122900008125
N,彰化縣,交通運輸,12,客運站,統聯客運-西港站(代售處),23.86325700419237,120.28966600006908
N,彰化縣,交通運輸,12,客運站,彰化客運-田中站,23.860072997266602,120.58393200005585
N,彰化縣,交通運輸,12,客運站,統聯客運-九塊厝站(代售處),23.846537007354062,120.38249600004615
N,彰化縣,交通運輸,12,客運站,統聯客運-九塊厝站(代售處),23.846537007354062,120.38249600004615
N,彰化縣,交通運輸,12,客運站,統聯客運-竹塘站(代售處),23.858814006648164,120.42693500004589
N,彰化縣,交通運輸,12,客運站,日統客運-溪洲站(代售處),23.853540005923545,120.49166300003694
