縣市代號,縣市,大類別,小類別代號,小類別名稱,地標名稱,緯度,經度
H,桃園縣,交通運輸,11,火車站,桃園縣臺鐵桃林鐵路寶山車站,25.01274983533933,121.31706156408347
H,桃園縣,交通運輸,11,火車站,桃園縣臺鐵富岡車站,24.934384519447566,121.08308325861272
H,桃園縣,交通運輸,11,火車站,桃園縣臺鐵桃林鐵路桃園車站,24.989207942469747,121.31359796602395
H,桃園縣,交通運輸,11,火車站,桃園縣臺鐵內壢車站,24.972776155406574,121.25828001163984
H,桃園縣,交通運輸,11,火車站,桃園縣臺鐵桃園車站,24.989156101964355,121.31340482774506
H,桃園縣,交通運輸,11,火車站,桃園縣臺鐵桃林鐵路長興車站,25.07340793692971,121.28287803707379
H,桃園縣,交通運輸,11,火車站,桃園縣臺鐵桃林鐵路南祥車站,25.045953529467855,121.29742641549234
H,桃園縣,交通運輸,11,火車站,桃園縣臺鐵中壢車站,24.95371454975461,121.22579863001955
H,桃園縣,交通運輸,11,火車站,桃園縣臺鐵桃林鐵路桃園高中車站,24.998102768918468,121.32574788948351
H,桃園縣,交通運輸,11,火車站,桃園縣臺鐵埔心車站,24.91959448857717,121.18353939687981
H,桃園縣,交通運輸,11,火車站,桃園火車站,24.989183999112537,121.31344699994253
H,桃園縣,交通運輸,11,火車站,內壢火車站,24.97279900094947,121.2582179999607
H,桃園縣,交通運輸,11,火車站,中壢火車站,24.95369499912141,121.22569899995818
H,桃園縣,交通運輸,11,火車站,富岡火車站,24.9344120115915,121.08313899999109
H,桃園縣,交通運輸,11,火車站,埔心火車站,24.919407006583434,121.18364099997574
H,桃園縣,交通運輸,11,火車站,楊梅火車站,24.914035993902182,121.14597299996652
H,桃園縣,交通運輸,11,火車站,楊梅火車站,24.914035993902182,121.14597299996652
H,桃園縣,交通運輸,12,客運站,統聯客運-中壢轉運站(自營站),25.00137699937223,121.25322199995031
H,桃園縣,交通運輸,12,客運站,桃園客運-竹圍站,25.10587200210654,121.24425799995822
H,桃園縣,交通運輸,12,客運站,統聯客運-機場第一航站(自營站),25.081384994494147,121.23742499995036
H,桃園縣,交通運輸,12,客運站,統聯客運-機場第二航站(自營站),25.076949996280213,121.23273799994682
H,桃園縣,交通運輸,12,客運站,桃園客運-大園站,25.057644998654528,121.20417599996213
H,桃園縣,交通運輸,12,客運站,阿羅哈客運-桃園站,25.035122997212028,121.3004419999428
H,桃園縣,交通運輸,12,客運站,統聯客運-南崁站(自營站),25.035182997711516,121.30032399993748
H,桃園縣,交通運輸,12,客運站,和欣客運-桃園站,25.0411680086451,121.29539099996593
H,桃園縣,交通運輸,12,客運站,桃園客運-觀音站,25.037855002938375,121.08086399998744
H,桃園縣,交通運輸,12,客運站,日統客運-林口站(營業站),25.06432200220565,121.36649199993921
H,桃園縣,交通運輸,12,客運站,統聯客運-林口站(自營站),25.059110008090425,121.36688699996127
H,桃園縣,交通運輸,12,客運站,阿羅哈客運-林口站,25.058885007526122,121.36652899995886
H,桃園縣,交通運輸,12,客運站,國光客運-林口代售處,25.058885007526122,121.36652899995886
H,桃園縣,交通運輸,12,客運站,三重客運-公西站,25.051521008282215,121.37281999996037
H,桃園縣,交通運輸,12,客運站,桃園客運-桃園車站,24.990448008857047,121.3125259999654
H,桃園縣,交通運輸,12,客運站,桃園客運-桃園站,24.9809680086038,121.32142699996398
H,桃園縣,交通運輸,12,客運站,國光客運-桃園車站,24.98965700376943,121.31095899995427
H,桃園縣,交通運輸,12,客運站,桃園客運-旅行社,24.98964500363545,121.31231599995209
H,桃園縣,交通運輸,12,客運站,桃園客運-桃園公車站,24.98678000474581,121.3139729999553
H,桃園縣,交通運輸,12,客運站,桃園客運-總公司,24.98678000474581,121.3139729999553
H,桃園縣,交通運輸,12,客運站,和欣客運-中壢交流道站,24.956701997952504,121.20162299996082
H,桃園縣,交通運輸,12,客運站,國光客運-中壢民族站,24.95734300257102,121.20216799996864
H,桃園縣,交通運輸,12,客運站,新竹客運-中壢總站,24.953384001093422,121.22440299996559
H,桃園縣,交通運輸,12,客運站,國光客運-中壢車站,24.953429005320395,121.22415699996905
H,桃園縣,交通運輸,12,客運站,統聯客運-中壢轉運站(自營站),25.00137699937223,121.25322199995031
H,桃園縣,交通運輸,12,客運站,桃園客運-中壢站,24.95308600201836,121.22383899996441
H,桃園縣,交通運輸,12,客運站,桃園客運-中壢公車站,24.954178005200056,121.22399999996543
H,桃園縣,交通運輸,12,客運站,統聯客運-中壢站(自營站),24.95744900963905,121.20369399997584
H,桃園縣,交通運輸,12,客運站,桃園客運-新屋站,24.972889007824868,121.10246999998432
H,桃園縣,交通運輸,12,客運站,新竹客運-龍潭站,24.865023002477784,121.21100399996683
H,桃園縣,交通運輸,12,客運站,國光客運-龍潭站,24.868303002406954,121.21541299996157
H,桃園縣,交通運輸,12,客運站,桃園客運-龍潭站,24.867554010546215,121.21569899998322
H,桃園縣,交通運輸,12,客運站,新竹客運-楊梅站,24.913284000048325,121.14862699996964
H,桃園縣,交通運輸,12,客運站,桃園客運-大溪站,24.879886007139554,121.29041399996602
H,桃園縣,交通運輸,15,高鐵站,桃園縣台灣高鐵桃園車站,25.014153767513385,121.21597806359883
H,桃園縣,交通運輸,15,高鐵站,高鐵桃園站(青埔站)-出口1,25.013101003196947,121.2152879999708
H,桃園縣,交通運輸,15,高鐵站,高鐵桃園站(青埔站)-出口2,25.012907005415187,121.21523099997066
