縣市代號,縣市,大類別,小類別代號,小類別名稱,地標名稱,緯度,經度
V,臺東縣,交通運輸,11,火車站,臺東縣臺鐵瑞源車站,22.95608942030467,121.15900736006547
V,臺東縣,交通運輸,11,火車站,臺東縣臺鐵海端車站,23.102922720066214,121.17679947893102
V,臺東縣,交通運輸,11,火車站,臺東縣臺鐵月美車站,23.01648121193714,121.15153598592346
V,臺東縣,交通運輸,11,火車站,臺東縣臺鐵康樂車站,22.76426767903879,121.09351670310836
V,臺東縣,交通運輸,11,火車站,臺東縣臺鐵大武車站,22.36518547346635,120.90082947142129
V,臺東縣,交通運輸,11,火車站,臺東縣臺鐵金崙車站,22.531534649919074,120.9672616858387
V,臺東縣,交通運輸,11,火車站,臺東縣臺鐵太麻里車站,22.61884363869423,121.00496738021121
V,臺東縣,交通運輸,11,火車站,臺東縣臺鐵知本車站,22.710215216101187,121.06071241104539
V,臺東縣,交通運輸,11,火車站,池上火車站,23.12607100145899,121.21943599997333
V,臺東縣,交通運輸,11,火車站,池上火車站,23.12607100145899,121.21943599997333
V,臺東縣,交通運輸,11,火車站,海端火車站,23.10287899878731,121.17685099997199
V,臺東縣,交通運輸,11,火車站,德高火車站(閒),23.073777994938478,121.17416199996686
V,臺東縣,交通運輸,11,火車站,月美火車站,23.016384002411677,121.15145299997798
V,臺東縣,交通運輸,11,火車站,關山火車站,23.04565599855003,121.16435899997056
V,臺東縣,交通運輸,11,火車站,關山火車站,23.04565599855003,121.16435899997056
V,臺東縣,交通運輸,11,火車站,瑞和火車站,22.980013995708788,121.15582999996926
V,臺東縣,交通運輸,11,火車站,瑞源火車站,22.95602799373822,121.15902599996872
V,臺東縣,交通運輸,11,火車站,鹿野火車站,22.912470992918237,121.13700399996988
V,臺東縣,交通運輸,11,火車站,鹿野火車站,22.912470992918237,121.13700399996988
V,臺東縣,交通運輸,11,火車站,多良火車站(閒),22.507009004514792,120.95884799999784
V,臺東縣,交通運輸,11,火車站,香蘭火車站(閒),22.57905399902978,120.98901599999733
V,臺東縣,交通運輸,11,火車站,舊香蘭火車站(閒),22.586928003332027,120.99165699999219
V,臺東縣,交通運輸,11,火車站,三和火車站(閒),22.675680004120917,121.03942499999094
V,臺東縣,交通運輸,11,火車站,瀧溪火車站,22.460979002719043,120.94176599999702
V,臺東縣,交通運輸,11,火車站,瀧溪火車站,22.460979002719043,120.94176599999702
V,臺東縣,交通運輸,11,火車站,金崙火車站,22.53147799674351,120.96725900000044
V,臺東縣,交通運輸,11,火車站,太麻里火車站,22.618716995651376,121.00499199999784
V,臺東縣,交通運輸,11,火車站,檳榔火車站(閒),22.80886399826626,121.09269499998229
V,臺東縣,交通運輸,11,火車站,初鹿火車站(閒),22.86084500494079,121.09270599998902
V,臺東縣,交通運輸,11,火車站,嘉豐火車站(閒),22.88083600483431,121.12840999998807
V,臺東縣,交通運輸,11,火車站,山里火車站,22.861903997218594,121.13781499997319
V,臺東縣,交通運輸,11,火車站,山里火車站,22.861903997218594,121.13781499997319
V,臺東縣,交通運輸,11,火車站,馬蘭火車站(閒),22.765116001047435,121.1290669999837
V,臺東縣,交通運輸,11,火車站,知本火車站,22.710170997567218,121.06067799998546
V,臺東縣,交通運輸,11,火車站,臺東舊火車站(閒),22.7518399934276,121.1470789999733
V,臺東縣,交通運輸,11,火車站,臺東火車站,22.79371299519735,121.1231159999743
V,臺東縣,交通運輸,11,火車站,臺東火車站,22.79371299519735,121.1231159999743
V,臺東縣,交通運輸,11,火車站,康樂火車站,22.764258000508853,121.09346899998191
V,臺東縣,交通運輸,11,火車站,古莊火車站,22.345567999117414,120.87803000000523
V,臺東縣,交通運輸,11,火車站,古莊火車站,22.345567999117414,120.87803000000523
V,臺東縣,交通運輸,11,火車站,富山火車站(閒),22.428762001334707,120.93337599999835
V,臺東縣,交通運輸,11,火車站,大武火車站,22.36527899929877,120.90089700000735
V,臺東縣,交通運輸,11,火車站,菩安火車站(閒),22.293509003453767,120.82068200000563
V,臺東縣,交通運輸,12,客運站,鼎東汽車客運-成功站,23.105074992306598,121.38019699992425
V,臺東縣,交通運輸,12,客運站,鼎東汽車客運-池上站,23.123506003952485,121.21695499997406
V,臺東縣,交通運輸,12,客運站,國光客運-臺東車站,22.75194299602464,121.14905699997568
V,臺東縣,交通運輸,16,航空站,臺東縣交通部民用航空局臺東航空站,22.755997366197914,121.10691839767475
V,臺東縣,交通運輸,16,航空站,臺東縣交通部民用航空局蘭嶼航空站,22.027804982026385,121.53585262547107
V,臺東縣,交通運輸,16,航空站,臺東縣交通部民用航空局綠島航空站,22.672565564321218,121.46728901908823
V,臺東縣,交通運輸,16,航空站,臺東航空站-臺東豐年機場,22.755031998984602,121.10258799998326
V,臺東縣,交通運輸,16,航空站,綠島輔助站綠島機場,22.672421005259455,121.46741799995468
V,臺東縣,交通運輸,16,航空站,交通部民用航空局綠島航空站,22.672473997487078,121.46732499993713
V,臺東縣,交通運輸,16,航空站,蘭嶼輔助站蘭嶼機場,22.026842998960962,121.53652999993399
V,臺東縣,交通運輸,17,碼頭,臺東縣大武漁港,22.339357752115763,120.8935070462265
V,臺東縣,交通運輸,17,碼頭,臺東縣潭子港,23.21546240588887,121.4126856757773
V,臺東縣,交通運輸,17,碼頭,臺東縣金樽漁港,22.955448368502083,121.294850430409
V,臺東縣,交通運輸,17,碼頭,烏石鼻漁港,23.227722001887575,121.41527799994884
V,臺東縣,交通運輸,17,碼頭,小港漁港,23.15845399905087,121.40195099994665
V,臺東縣,交通運輸,17,碼頭,新港漁港,23.097753001975093,121.37972999995492
V,臺東縣,交通運輸,17,碼頭,成功漁港(新港漁港),23.096777994724,121.38246299993183
V,臺東縣,交通運輸,17,碼頭,金樽漁港,22.95572299735511,121.29204599995357
V,臺東縣,交通運輸,17,碼頭,金樽,22.956536005541462,121.28813199997494
V,臺東縣,交通運輸,17,碼頭,富岡漁港,22.791111992919372,121.19244799996767
V,臺東縣,交通運輸,17,碼頭,尚武漁港,22.339248993794396,120.89421700001078
V,臺東縣,交通運輸,17,碼頭,蘭嶼,22.05830999513379,121.50946799992487
V,臺東縣,公共建設,21,國小,臺東縣臺東市新園國民小學,22.7650259364775,121.06237392143807
V,臺東縣,公共建設,21,國小,臺東縣海端鄉錦屏國民小學,23.132206621878556,121.17615079514982
V,臺東縣,公共建設,21,國小,臺東縣成功鎮忠孝國民小學,23.15717465225647,121.3996336347562
V,臺東縣,公共建設,21,國小,臺東縣蘭嶼鄉東清國民小學,22.056830329475037,121.56470310233475
V,臺東縣,公共建設,21,國小,臺東縣達仁鄉土?國民小學,22.453826624440207,120.88766006231042
V,臺東縣,公共建設,21,國小,臺東縣臺東市建和國民小學,22.71676009072915,121.04921622215778
V,臺東縣,公共建設,21,國小,臺東縣海端鄉初來國民小學,23.117114019741006,121.16986600624483
V,臺東縣,公共建設,21,國小,臺東縣臺東市光明國民小學,22.76868060065531,121.12919271602627
V,臺東縣,公共建設,21,國小,臺東縣海端鄉霧鹿國民小學利稻分校附設幼稚園,23.18689793209289,121.02526659836911
V,臺東縣,公共建設,21,國小,臺東縣延平鄉鸞山國民小學,22.898486367360192,121.15014262268924
V,臺東縣,公共建設,21,國小,臺東縣關山鎮月眉國民小學,23.009449954291327,121.14797476799544
V,臺東縣,公共建設,21,國小,臺東縣卑南鄉富原國民小學,22.811187046555006,121.14871451513464
V,臺東縣,公共建設,21,國小,臺東縣海端鄉崁頂國民小學紅石分校,23.067263768410097,121.16001096105288
V,臺東縣,公共建設,21,國小,臺東縣金峰鄉新興國民小學附設幼稚園,22.63151605154045,121.00342304098871
V,臺東縣,公共建設,21,國小,臺東縣鹿野鄉鹿野國民小學,22.909301509822274,121.13637546887048
V,臺東縣,公共建設,21,國小,臺東縣私立均一國民中小學,22.76978588460238,121.12635588665975
V,臺東縣,公共建設,21,國小,臺東縣臺東市豐田國民小學附設幼稚園,22.774907966395634,121.08708254174364
